,id,name,neighbourhood_cleansed,host_id,host_name,neighbourhood_group_cleansed,latitude,longitude,property_type,accommodates,price,minimum_nights,number_of_reviews,review_scores_rating
0,3176,Fabulous Flat in great Location,Prenzlauer Berg Südwest,3718,Britta,Pankow,52.53471,13.4181,Entire rental unit,4,$105.00,63,148,4.63
1,9991,Geourgeous flat - outstanding views,Prenzlauer Berg Südwest,33852,Philipp,Pankow,52.53269,13.41805,Entire rental unit,7,$180.00,6,7,5.0
2,14325,Studio Apartment in Prenzlauer Berg,Prenzlauer Berg Nordwest,55531,Chris + Oliver,Pankow,52.54813,13.40366,Entire rental unit,1,$70.00,150,26,4.68
3,16644,In the Heart of Berlin - Kreuzberg,nördliche Luisenstadt,64696,Rene,Friedrichshain-Kreuzberg,52.50312,13.43508,Entire condo,4,$90.00,93,48,4.72
4,17904,Beautiful Kreuzberg studio - 3 months minimum,Reuterstraße,68997,Matthias,Neukölln,52.49419,13.42166,Entire rental unit,2,$25.00,92,299,4.77
5,20858,Designer Loft in Berlin Mitte,Prenzlauer Berg Südwest,71331,Marc,Pankow,52.53711,13.40888,Entire loft,4,$213.00,3,130,4.49
6,21869,Studio in the Heart of Kreuzberg,nördliche Luisenstadt,64696,Rene,Friedrichshain-Kreuzberg,52.5046,13.43374,Entire rental unit,2,$70.00,93,60,4.74
7,22438,WOHNUNG IN BERLIN ★ MITTE,Brunnenstr. Süd,86159,Javier,Mitte,52.53408,13.38871,Entire rental unit,2,$53.00,93,182,4.7
8,22677,"""Prenzel Garten"" mit Terrasse",Brunnenstr. Süd,87357,Ramfis,Mitte,52.53355,13.40476,Entire rental unit,6,$170.00,2,507,4.8
9,23834,Apartment in the heart of Berlin,Tempelhofer Vorstadt,94918,Tanja,Friedrichshain-Kreuzberg,52.49134,13.37975,Entire condo,4,,185,98,4.37
10,28156,Beautiful apartment in Prenzlauer Berg,Prenzlauer Berg Nordwest,55531,Chris + Oliver,Pankow,52.54804,13.40349,Entire rental unit,1,$70.00,150,34,4.66
11,29279,Quiet 2 rooms next Helmholtzplatz,Helmholtzplatz,54283,Marine,Pankow,52.54367,13.42431,Entire rental unit,2,$120.00,92,81,4.81
12,30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,Helmholtzplatz,485838,Michele,Pankow,52.54596,13.42291,Entire rental unit,8,$127.00,4,438,4.79
13,34854,"Ku'damm-Nähe,sonnig,ruhig,Balkon",Düsseldorfer Straße,145583,Christian,Charlottenburg-Wilm.,52.49546,13.30858,Entire rental unit,4,$60.00,92,1,5.0
14,37004,WONDERFUL ROOM for a bubble in Berlin Central,Schöneberg-Nord,159734,Bernd,Tempelhof - Schöneberg,52.49376,13.36408,Private room in rental unit,2,$61.00,9,36,4.73
15,37554,More central+calm it won´t get !!,Regierungsviertel,161823,Iván,Mitte,52.50906,13.39374,Entire rental unit,16,$19.00,95,8,4.38
16,37836,Weekend in Berlin Party Center - II,südliche Luisenstadt,272316,Desiree,Friedrichshain-Kreuzberg,52.4987,13.44041,Private room in condo,3,$89.00,2,205,4.52
17,41217,Beautiful room,Prenzlauer Berg Südwest,179110,Bn,Pankow,52.5378,13.41287,Private room in rental unit,2,,92,70,4.71
18,42809,The Berlin Artist Apartment.,Frankfurter Allee Süd FK,186851,Tina,Friedrichshain-Kreuzberg,52.51099,13.45642,Entire rental unit,4,$220.00,90,200,4.91
19,44423,Lovely accommodation in Berlin,Frankfurter Allee Süd FK,194957,Robert,Friedrichshain-Kreuzberg,52.50943,13.45458,Private room in rental unit,2,,82,105,4.83
20,47227,1-Zimmer Wohnung in Berlin-Neukölln,Reuterstraße,183337,Violeta,Neukölln,52.49442,13.4246,Entire condo,2,,92,0,
21,47938,Lovely 2 BR flat in Prenzlauer Berg,Prenzlauer Berg Südwest,218479,Laura,Pankow,52.53197,13.41994,Entire rental unit,6,,5,40,5.0
22,55853,Hauptstadt-Domizil,Neue Kantstraße,264072,Britta,Charlottenburg-Wilm.,52.50469,13.29409,Entire rental unit,2,$60.00,100,20,4.8
23,57049,130 sqm with a view on Mauer Park,Prenzlauer Berg Nordwest,54283,Marine,Pankow,52.54758,13.40632,Entire rental unit,4,$290.00,3,129,4.92
24,62613,Super Apartment in Berlin/Kreuzberg,südliche Luisenstadt,227954,Guidi,Friedrichshain-Kreuzberg,52.49612,13.42306,Entire rental unit,2,$100.00,4,33,4.69
25,64014,"Rooftop apt w/ a view, 2 bedrooms/bathrooms, sauna",Brunnenstr. Nord,312896,Stephan,Mitte,52.54059,13.40301,Entire rental unit,4,$179.00,3,16,4.75
26,64245,Room w/ balcony and private bathroom in nice area,Prenzlauer Berg Nordwest,312373,Christian,Pankow,52.54994,13.406019,Private room in rental unit,2,$78.00,2,111,4.95
27,64590,Direkt am Kanal! Tolle Wohnung mit Balkon,Reuterstraße,315681,Mirjam,Neukölln,52.49337,13.42555,Entire rental unit,4,$127.00,6,77,4.99
28,68448,Quiet studio in Prenzlauer Berg near Mauerpark,Prenzlauer Berg Nord,163384,Alan & Kasia StayBearlin,Pankow,52.55004,13.41518,Entire rental unit,4,$152.00,3,399,4.61
29,69780,Apartment in Prenzlauer Berg,Prenzlauer Berg Nordwest,55531,Chris + Oliver,Pankow,52.5488,13.40425,Entire condo,1,$106.00,150,1,5.0
30,72079,"Italian Design at Kudamm ,WiFi DSL free",Kantstraße,261488,P. Charlotte,Charlottenburg-Wilm.,52.5078,13.31867,Entire rental unit,2,$123.00,3,90,4.7
31,80843,Berlin City Studio,Schmargendorf,437628,Oliver,Charlottenburg-Wilm.,52.48074,13.28903,Entire rental unit,1,$148.00,2,167,4.95
32,81081,Beautiful Prenzlauer Berg Apt,Prenzlauer Berg Nord,425899,Bernd+Katja :-),Pankow,52.55064,13.41466,Entire rental unit,2,,3,404,4.93
33,83614,Spacious Prenzlauer Berg Apartment in Quiet Street,Helmholtzplatz,456085,Louis,Pankow,52.54720260822955,13.416090488433827,Entire rental unit,6,$520.00,2,387,4.86
34,85560,Apartment 1 in Berlin,Alexanderplatz,451311,Ruth,Mitte,52.53036,13.38137,Entire condo,2,$110.00,3,172,4.72
35,86090,spacious and cozy living in PrenzlBerg,Prenzlauer Berg Nord,472567,Alexandra,Pankow,52.54715,13.42657,Entire guest suite,4,$199.00,3,278,4.88
36,86514,"Apartment in the heart of Berlin, Kreuzberg",südliche Luisenstadt,464827,Hayley,Friedrichshain-Kreuzberg,52.49986,13.44201,Entire rental unit,2,$51.00,92,44,4.59
37,89102,Bright loft in the Kastanienallee,Prenzlauer Berg Südwest,485838,Michele,Pankow,52.54048,13.41087,Entire rental unit,4,$126.00,4,68,4.81
38,102882,STORAGE APARTMENT URBAN,Tempelhofer Vorstadt,86173,Sebastian,Friedrichshain-Kreuzberg,52.48924,13.42371,Entire rental unit,14,$521.00,3,104,4.7
39,115576,Bed and Garden,Blankenfelde/Niederschönhausen,584750,Axel,Pankow,52.58178,13.3962,Entire home,4,$90.00,2,39,4.95
40,117649,F43 - your base for Berlin,südliche Luisenstadt,594164,Ralph&Maria,Friedrichshain-Kreuzberg,52.49989,13.4448,Entire rental unit,4,$68.00,92,82,4.72
41,127708,Design Jewel in the midst of MITTE!,Alexanderplatz,632174,Stéphanie,Mitte,52.52536,13.40488,Entire rental unit,2,$109.00,2,691,4.84
42,135097,Near KaDeWe & Kurfürstendamm,Schöneberg-Nord,662534,Bernd,Tempelhof - Schöneberg,52.49944,13.34685,Entire rental unit,4,$122.00,1,304,4.45
43,145249,Private Wing in Penthouse - Bedroom Bath & Terrace,Frankfurter Allee Nord,1853661,Kirk,Friedrichshain-Kreuzberg,52.51604,13.46059,Private room in loft,3,$91.00,2,165,4.66
44,147339,Lovely apartment - central - quiet,Schöneberg-Süd,712073,Gerhard,Tempelhof - Schöneberg,52.48033,13.3609,Entire rental unit,2,$100.00,4,293,4.91
45,151249,"Private home, quiet, terrasse, cats,",Südliche Friedrichstadt,728298,Ju,Friedrichshain-Kreuzberg,52.49681,13.41758,Entire rental unit,2,$70.00,2,25,4.48
46,162111,"Sunny, cosy room + holland bicycle!",Rixdorf,775103,Verena,Neukölln,52.47705,13.44574,Private room in rental unit,1,,4,74,4.93
47,163287,"Very nice apartment, Bergmann area",Tempelhofer Vorstadt,779623,Stefano,Friedrichshain-Kreuzberg,52.49295,13.39657,Entire rental unit,2,,150,71,4.81
48,163411,Ample parkside apartment Kreuzberg,südliche Luisenstadt,779213,Jutta,Friedrichshain-Kreuzberg,52.49919,13.43648,Entire rental unit,4,$130.00,5,43,4.7
49,164475,Sunny Room in Beautiful Apartment in Kreuzberg,nördliche Luisenstadt,784423,Patrick,Friedrichshain-Kreuzberg,52.50266,13.43547,Private room in rental unit,2,$45.00,26,31,4.65
50,168615,STAYINTOWN - Apartment in Berlin,Blankenburg/Heinersdorf/Märchenland,803717,Dirk,Pankow,52.58045,13.44398,Entire rental unit,2,$56.00,3,27,4.89
